id,name,price,salePriceU,cashback,sale,brand,rating,supplier,supplierRating,feedbacks,reviewRating,promoTextCard,promoTextCat,link
96897266,Футболка Король и Шут,1400,518,,63,DREAMS FAMILY BRAND,5,DREAMS FAMILY BRAND,4.8,2782,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/96897266/detail.aspx?targetUrl=BP
146869305,Футболка патриотическая,1900,742,,60,Vосток,5,DripShop/Vосток,4.8,175,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/146869305/detail.aspx?targetUrl=BP
227142998,Футболка хлопок MSS 001,1607,749,,53,TEKSA,4,Conte ЦЕНТР,4.8,101,4.4,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/227142998/detail.aspx?targetUrl=BP
177397124,Футболка,1900,759,,60,Vосток,5,DripShop/Vосток,4.8,32,4.7,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/177397124/detail.aspx?targetUrl=BP
205858947,Футболка оверсайз y2k с принтом винтаж,910,846,,7,Nightmare by WD,5,World Design,4.6,2440,4.6,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/205858947/detail.aspx?targetUrl=BP
149546508,Футболка с группой Tool,1940,1244,,35,Rock-Rock,5,MaxPrint,4.9,91,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/149546508/detail.aspx?targetUrl=BP
18782055,Футболка с попугаем Футболка с принтом,2590,536,,79,Макс-Экстрим,5,Макс Экстрим,4.8,884,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/18782055/detail.aspx?targetUrl=BP
202539742,Футболка оверсайз с принтом винтаж,929,863,,7,World Design,5,World Design,4.6,1420,4.7,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/202539742/detail.aspx?targetUrl=BP
167756306,Футболка мужская голубая с иероглифами хлопок Япония,1940,401,,79,Макс-Экстрим,5,Макс Экстрим,4.8,14933,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/167756306/detail.aspx?targetUrl=BP
96388577,Футболка белая хлопок Турция,2200,390,,82,UNDERWEAR FOR YOU,5,TURKISH QUALITY FOR YOU,4.7,17,4.6,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/96388577/detail.aspx?targetUrl=BP
195574443,Футболка со светящимся Тигром,2850,506,,82,MILLIGAN,5,MILLIGAN,4.8,1271,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/195574443/detail.aspx?targetUrl=BP
